Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
ICBC;278,327;166,796;44,7572;3322,043;1;Financials;Major Banks;Asia;China;China;;Jiang Jianqing;http://www.forbes.com/companies/icbc/
China Construction Bank;212,945;130,473;37,0389;2698,925;2;Financials;Regional Banks;Asia;China;China;;Zhang Jianguo;http://www.forbes.com/companies/china-construction-bank/
Agricultural Bank of China;189,879;129,221;29,1245;2574,815;3;Financials;Regional Banks;Asia;China;China;;Zhang Yun;http://www.forbes.com/companies/agricultural-bank-of-china/
Bank of China;199,13;120,297;27,5268;2458,336;4;Financials;Major Banks;Asia;China;China;;Chen Siqing;http://www.forbes.com/companies/bank-of-china/
Berkshire Hathaway;354,813;194,673;19,872;534,618;5;Financials;Investment Services;North America;United States;Nebraska;Nebraska;Warren Buffett;http://www.forbes.com/companies/berkshire-hathaway/
JPMorgan Chase;225,451;97,817;21,219;2593,562;6;Financials;Major Banks;North America;United States;New York;New York;Jamie Dimon;http://www.forbes.com/companies/jpmorgan-chase/
Exxon Mobil;357,094;376,24;32,52;349,493;7;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Rex Tillerson;http://www.forbes.com/companies/exxon-mobil/
PetroChina;334,578;333,386;17,3883;387,714;8;Energy;Oil & Gas Operations;Asia;China;China;;Wang Dongjin;http://www.forbes.com/companies/petrochina/
General Electric;253,5;148,451;15,218;648,349;9;Industrials;Conglomerates;North America;United States;Connecticut;Connecticut;Jeffrey Immelt;http://www.forbes.com/companies/general-electric/
Wells Fargo;278,273;90,403;23,057;1701,408;10;Financials;Major Banks;North America;United States;California;California;John Stumpf;http://www.forbes.com/companies/wells-fargo/
Toyota Motor;239,045;252,185;19,1204;389,693;11;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Akio Toyoda;http://www.forbes.com/companies/toyota-motor/
Apple;741,782;199,378;44,462;261,894;12;Information Technology;Computer Hardware;North America;United States;California;California;Timothy Cook;http://www.forbes.com/companies/apple/
Royal Dutch Shell;195,38;420,371;14,8841;353,116;13;Energy;Oil & Gas Operations;Europe;Netherlands;Netherlands;;Ben Van Beurden;http://www.forbes.com/companies/royal-dutch-shell/
Volkswagen Group;126,017;268,549;14,388;424,98;14;Consumer Discretionary;Auto & Truck Manufacturers;Europe;Germany;Germany;;Martin Winterkorn;http://www.forbes.com/companies/volkswagen-group/
HSBC Holdings;167,746;81,086;13,5367;2634,139;15;Financials;Major Banks;Europe;United Kingdom;United Kingdom;;Stuart Gulliver;http://www.forbes.com/companies/hsbc-holdings/
Chevron;201,029;191,755;19,241;266,026;16;Energy;Oil & Gas Operations;North America;United States;California;California;John Watson;http://www.forbes.com/companies/chevron/
Wal-Mart Stores;261,279;485,651;16,363;203,706;16;Consumer Discretionary;Discount Stores;North America;United States;Arkansas;Arkansas;C Mcmillon;http://www.forbes.com/companies/wal-mart-stores/
