Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
ICBC;198,042;171,077;44,1603;3420,257;1;Financials;Major Banks;Asia;China;China;;Jian Jiang;http://www.forbes.com/companies/icbc/
China Construction Bank;162,774;146,816;36,3934;2825,983;2;Financials;Regional Banks;Asia;China;China;;You Guo;http://www.forbes.com/companies/china-construction-bank/
Agricultural Bank of China;152,736;131,888;28,8087;2739,835;3;Financials;Regional Banks;Asia;China;China;;Ying Che;http://www.forbes.com/companies/agricultural-bank-of-china/
Berkshire Hathaway;360,145;210,821;24,083;561,068;4;Financials;Investment Services;North America;United States;Nebraska;Nebraska;Warren Buffett;http://www.forbes.com/companies/berkshire-hathaway/
JPMorgan Chase;234,247;99,881;23,548;2423,808;5;Financials;Major Banks;North America;United States;New York;New York;Jamie Dimon;http://www.forbes.com/companies/jpmorgan-chase/
Bank of China;143,002;122,027;27,2095;2589,605;6;Financials;Major Banks;Asia;China;China;;Chen Siqing;http://www.forbes.com/companies/bank-of-china/
Wells Fargo;255,998;91,431;22,686;1849,182;7;Financials;Major Banks;North America;United States;California;California;John Stumpf;http://www.forbes.com/companies/wells-fargo/
Apple;585,951;233,273;53,731;293,284;8;Information Technology;Computer Hardware;North America;United States;;;Timothy Cook;http://www.forbes.com/companies/apple/
ExxonMobil;363,27;236,81;16,15;336,758;9;Energy;Oil & Gas Operations;North America;United States;Texas;Texas;Rex Tillerson;http://www.forbes.com/companies/exxon-mobil/
Toyota Motor;176,96;235,832;19,267;406,692;10;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;Japan;;Takeshi Uchiyamada;http://www.forbes.com/companies/toyota-motor/
Bank of America;156,021;91,496;15,844;2185,498;11;Financials;Major Banks;North America;United States;North Carolina;North Carolina;Brian Moynihan;http://www.forbes.com/companies/bank-of-america/
AT&T;234,177;146,801;13,244;402,672;12;Telecommunication Services;Telecommunications services;North America;United States;Texas;Texas;Randall Stephenson;http://www.forbes.com/companies/att/
Citigroup;138,149;85,945;15,771;1800,967;13;Financials;Major Banks;North America;United States;New York;New York;Mike Corbat;http://www.forbes.com/companies/citigroup/
HSBC Holdings;132,956;70,267;13,4786;2409,656;14;Financials;Major Banks;Europe;United Kingdom;United Kingdom;;Stuart Gulliver;http://www.forbes.com/companies/hsbc-holdings/
Verizon Communications;206,244;131,807;17,97;244,587;15;Telecommunication Services;Telecommunications services;North America;United States;New Jersey;New Jersey;Lowell Mcadam;http://www.forbes.com/companies/verizon-communications/
Wal-Mart Stores;215,696;482,13;14,694;199,581;15;Consumer Discretionary;Discount Stores;North America;United States;Arkansas;Arkansas;C Mcmillon;http://www.forbes.com/companies/wal-mart-stores/
PetroChina;203,848;274,608;5,7043;368,685;17;Energy;Oil & Gas Operations;Asia;China;China;;Wang Dongjin;http://www.forbes.com/companies/petrochina/
